date,actual_rins
2017-07-01,46029.54653
2017-07-02,46017.81925
2017-07-03,47941.09202
2017-07-04,48281.18294
2017-07-05,47014.63746
2017-07-06,41256.54641
2017-07-07,33364.09169
2017-07-08,47835.54657
2017-07-09,43344.00101
2017-07-10,42980.45555
2017-07-11,48140.45567
2017-07-12,47061.54655
2017-07-13,49958.18298
2017-07-14,50509.36481
2017-07-15,50896.36482
2017-07-16,50345.18299
2017-07-17,49723.63752
2017-07-18,49876.09207
2017-07-19,48691.63750
2017-07-20,46897.36473
2017-07-21,45595.63742
2017-07-22,45021.00105
2017-07-23,45173.45560
2017-07-24,44071.09193
2017-07-25,45759.81925
2017-07-26,46604.18290
2017-07-27,46850.45564
2017-07-28,46698.00109
2017-07-29,45384.54651
2017-07-30,45279.00105
2017-07-31,42429.27371