date,volume,energy_content
2017-07-01,4132.00000,3925.00000
2017-07-02,4136.00000,3924.00000
2017-07-03,4327.00000,4088.00000
2017-07-04,4405.00000,4117.00000
2017-07-05,4296.00000,4009.00000
2017-07-06,3779.00000,3518.00000
2017-07-07,3049.00000,2845.00000
2017-07-08,4382.00000,4079.00000
2017-07-09,3944.00000,3696.00000
2017-07-10,3873.00000,3665.00000
2017-07-11,4333.00000,4105.00000
2017-07-12,4270.00000,4013.00000
2017-07-13,4528.00000,4260.00000
2017-07-14,4568.00000,4307.00000
2017-07-15,4604.00000,4340.00000
2017-07-16,4570.00000,4293.00000
2017-07-17,4541.00000,4240.00000
2017-07-18,4554.00000,4253.00000
2017-07-19,4447.00000,4152.00000
2017-07-20,4210.00000,3999.00000
2017-07-21,4102.00000,3888.00000
2017-07-22,4058.00000,3839.00000
2017-07-23,4088.00000,3852.00000
2017-07-24,4006.00000,3758.00000
2017-07-25,4153.00000,3902.00000
2017-07-26,4255.00000,3974.00000
2017-07-27,4278.00000,3995.00000
2017-07-28,4289.00000,3982.00000
2017-07-29,4181.00000,3870.00000
2017-07-30,4196.00000,3861.00000
2017-07-31,3904.00000,3618.00000